iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
JDR,Sao Joao del Rei,Brazil,-21.0864,-44.2258,3120.0,-3.0,S,0.0
HOQ,Hof,Germany,50.2888,11.8549,1960.0,1.0,E,0.0
JDF,Juiz De Fora,Brazil,-21.7915,-43.3868,2989.0,-3.0,S,0.0
KNF,Marham,United Kingdom,52.6484,0.550692,75.0,0.0,E,0.0
KLS,Kelso,United States,46.118,-122.898,20.0,-8.0,A,0.0
HTL,Houghton Lake,United States,44.3598,-84.6711,1150.0,-5.0,A,0.0
KNC,Jian,China,26.8575,114.737,0.0,8.0,U,0.0
KMY,Moser Bay,United States,57.0256,-154.146,0.0,-9.0,A,0.0
1C9,Hollister,United States,54.0133,-124.768,152.0,-8.0,A,0.0
KMO,Manokotak,United States,58.9903,-159.05,51.0,-9.0,A,0.0
KLK,Kalokol,Kenya,3.49,35.84,1296.0,3.0,U,0.0
KIA,Kaieteur Falls,Guyana,5.16333,-59.4833,95.0,-4.0,U,0.0
KIW,Southdowns,Zambia,-12.9005,28.1499,4145.0,2.0,U,0.0
JHL,Wood Buffalo,Canada,57.2239,-111.419,1048.0,-7.0,A,0.0
